alg	file	n	outputSize	correct	buildTime	searchTime	memory	dim
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	40	true	17.307708	0.011064000000001	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	46	true	17.307708	0.0034600000000005	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	45	true	17.307708	0.0035969999999992	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	44	true	17.307708	0.0037209999999988	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	38	true	17.307708	0.0031330000000018	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	47	true	17.307708	0.0031259999999982	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	50	true	17.307708	0.0038839999999993	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	41	true	17.307708	0.0032239999999994	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	53	true	17.307708	0.0031180000000006	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	46	true	17.307708	0.0034039999999997	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	50	true	17.307708	0.0031189999999981	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	41	true	17.307708	0.0033560000000001	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	41	true	17.307708	0.0012499999999989	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	47	true	17.307708	0.0015190000000018	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	36	true	17.307708	0.0014530000000015	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	41	true	17.307708	0.0013550000000002	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	40	true	17.307708	0.0012949999999989	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	42	true	17.307708	0.0010970000000015	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	53	true	17.307708	0.0012129999999999	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	41	true	17.307708	0.0011970000000012	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	38	true	17.307708	0.0012930000000004	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	51	true	17.307708	0.0012609999999995	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	40	true	17.307708	0.0012420000000013	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	51	true	17.307708	0.0013259999999988	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	46	true	17.307708	0.0014290000000017	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	34	true	17.307708	0.0012299999999996	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	47	true	17.307708	0.0012650000000001	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	48	true	17.307708	0.0012849999999993	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	45	true	17.307708	0.0012110000000014	743.79184913635	6
rangeTree	n_472_d_6_r_1000_s_2.7903391965398_rs_1.9010359645841.txt	472	43	true	17.307708	0.0012350000000012	743.79184913635	6
