alg	file	n	outputSize	correct	buildTime	searchTime	memory	dim
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	8	true	0.54256	0.00013299999999994	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	8	true	0.54256	6.8999999999986e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	2	true	0.54256	6.3000000000035e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	8	true	0.54256	6.6999999999928e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	12	true	0.54256	8.2000000000026e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	8	true	0.54256	7.3999999999907e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	11	true	0.54256	7.6999999999994e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	4	true	0.54256	5.9000000000031e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	9	true	0.54256	5.6999999999974e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	10	true	0.54256	6.2999999999924e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	8	true	0.54256	5.5999999999945e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	10	true	0.54256	6.7999999999957e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	9	true	0.54256	6.7000000000039e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	10	true	0.54256	6.9000000000097e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	9	true	0.54256	6.0999999999978e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	8	true	0.54256	6.2000000000006e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	9	true	0.54256	5.5000000000027e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	8	true	0.54256	5.3999999999998e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	10	true	0.54256	6.3000000000035e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	10	true	0.54256	6.3999999999953e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	5	true	0.54256	5.899999999992e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	13	true	0.54256	5.9000000000031e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	4	true	0.54256	4.599999999999e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	9	true	0.54256	6.4000000000064e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	11	true	0.54256	6.3999999999953e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	9	true	0.54256	5.2000000000052e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	10	true	0.54256	5.9999999999949e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	9	true	0.54256	5.9000000000031e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	11	true	0.54256	5.9000000000031e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	9	true	0.54256	5.9999999999949e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	14	true	0.54256	7.299999999999e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	3	true	0.54256	4.4000000000044e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	7	true	0.54256	0.00010999999999994	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	6	true	0.54256	8.600000000003e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	8	true	0.54256	6.0999999999978e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	10	true	0.54256	7.0000000000014e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	9	true	0.54256	5.6000000000056e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	12	true	0.54256	7.8000000000022e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	11	true	0.54256	6.3999999999953e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	9	true	0.54256	7.1999999999961e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	10	true	0.54256	6.4999999999982e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	10	true	0.54256	7.299999999999e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	8	true	0.54256	5.9000000000031e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	9	true	0.54256	8.2000000000026e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	11	true	0.54256	7.1999999999961e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	4	true	0.54256	4.4999999999962e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	8	true	0.54256	6.2000000000006e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	14	true	0.54256	6.000000000006e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	12	true	0.54256	6.4999999999982e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	8	true	0.54256	5.9000000000031e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	13	true	0.54256	5.5000000000027e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	6	true	0.54256	6.0999999999978e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	6	true	0.54256	4.2000000000098e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	10	true	0.54256	5.3000000000081e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	9	true	0.54256	5.9999999999949e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	12	true	0.54256	6.8000000000068e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	4	true	0.54256	6.0999999999978e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	10	true	0.54256	7.7000000000105e-05	25.2584400177	5
rangeTree	n_100_d_5_r_1000_s_2.5118864315096_rs_1.5848931924611.txt	100	4	true	0.54256	5.9999999999949e-05	25.2584400177	5
